YEAR,AGE,EDUC,DEGREE,WORDSUM,RELIG
1972,23,16,3,-1,3
1972,70,10,0,-1,2
1972,48,12,1,-1,1
1972,27,17,3,-1,5
1972,61,12,1,-1,1
1972,26,14,1,-1,1
1972,28,13,1,-1,2
1972,27,16,3,-1,3
1972,21,12,1,-1,1
1972,30,12,1,-1,1
1972,30,13,1,-1,1
1972,56,6,0,-1,1
1972,54,9,0,-1,1
1972,49,8,0,-1,1
1972,41,9,0,-1,1
1972,54,14,1,-1,1
1972,24,14,1,-1,1
1972,62,8,0,-1,1
1972,46,17,3,-1,1
1972,21,14,1,-1,1
1972,57,12,1,-1,1
1972,58,11,1,-1,1
1972,21,13,1,-1,1
1972,26,12,1,-1,1
1972,71,16,3,-1,1
1972,53,12,1,-1,2
1972,42,12,1,-1,1
1972,42,12,1,-1,1
1972,20,12,1,-1,1
1972,23,9,0,-1,1
1972,26,6,0,-1,1
1972,25,14,1,-1,1
1972,26,16,3,-1,1
1972,78,8,0,-1,1
1972,21,12,1,-1,1
1972,27,14,1,-1,2
1972,58,13,1,-1,1
1972,35,10,0,-1,1
1972,58,6,0,-1,1
1972,51,12,1,-1,1
1972,76,8,0,-1,1
1972,53,14,1,-1,1
1972,39,8,0,-1,1
1972,64,8,0,-1,1
1972,50,8,0,-1,2
1972,27,12,1,-1,1
1972,25,14,1,-1,2
1972,49,12,1,-1,1
1972,40,9,0,-1,1
1972,43,8,0,-1,1
1972,46,10,0,-1,2
1972,37,14,1,-1,2
1972,46,9,0,-1,2
1972,22,12,1,-1,1
1972,53,10,0,-1,2
1972,35,12,1,-1,2
1972,31,14,1,-1,2
1972,30,12,1,-1,2
1972,37,12,1,-1,1
1972,57,11,0,-1,1
1972,39,12,1,-1,1
1972,62,9,0,-1,1
1972,51,12,1,-1,1
1972,43,11,0,-1,2
1972,39,12,1,-1,1
1972,52,8,0,-1,5
1972,30,12,1,-1,2
1972,47,12,1,-1,1
1972,31,12,1,-1,2
1972,25,16,3,-1,2
1972,45,7,0,-1,1
1972,30,12,1,-1,1
1972,68,8,0,-1,2
1972,63,11,0,-1,2
1972,19,12,1,-1,2
1972,23,16,3,-1,4
1972,46,10,0,-1,2
1972,55,8,0,-1,1
1972,22,14,1,-1,2
1972,55,12,1,-1,2
1972,44,7,0,-1,1
1972,41,12,1,-1,1
1972,49,15,1,-1,4
1972,28,15,1,-1,1
1972,21,14,1,-1,5
1972,26,17,3,-1,1
1972,31,20,4,-1,2
1972,28,18,4,-1,5
1972,26,17,3,-1,4
1972,20,14,1,-1,2
1972,25,16,3,-1,4
1972,57,12,1,-1,1
1972,58,13,1,-1,5
1972,54,14,1,-1,1
1972,35,16,3,-1,1
1972,40,14,1,-1,1
1972,57,15,1,-1,1
1972,64,16,1,-1,1
1972,34,15,1,-1,1
1972,25,12,1,-1,1
1972,28,9,0,-1,1
1972,41,13,1,-1,1
1972,36,12,1,-1,1
1972,31,15,1,-1,1
1972,45,12,1,-1,1
1972,74,8,0,-1,4
1972,64,12,1,-1,1
1972,23,13,1,-1,5
1972,27,16,3,-1,5
1972,42,13,1,-1,1
1972,47,3,0,-1,1
1972,26,12,1,-1,1
1972,34,10,0,-1,1
1972,52,14,0,-1,2
1972,24,12,1,-1,2
1972,36,14,1,-1,3
1972,25,8,0,-1,1
1972,46,11,0,-1,1
1972,54,2,0,-1,1
1972,27,12,1,-1,1
1972,20,12,0,-1,1
1972,53,6,0,-1,1
1972,47,3,0,-1,1
1972,70,8,0,-1,1
1972,69,8,0,-1,2
1972,49,12,0,-1,4
1972,29,16,3,-1,4
1972,48,12,1,-1,2
1972,67,9,0,-1,2
1972,22,12,1,-1,1
1972,75,6,0,-1,2
1972,38,12,1,-1,2
1972,46,15,1,-1,2
1972,63,8,0,-1,1
1972,34,11,0,-1,1
1972,57,4,0,-1,1
1972,22,13,1,-1,1
1972,46,8,0,-1,1
1972,73,11,0,-1,2
1972,73,12,1,-1,1
1972,53,12,1,-1,1
1972,84,12,1,-1,1
1972,27,14,1,-1,3
1972,69,10,0,-1,1
1972,82,5,0,-1,1
1972,67,16,3,-1,1
1972,41,12,1,-1,1
1972,72,2,0,-1,1
1972,38,10,0,-1,1
1972,59,12,1,-1,1
1972,42,12,1,-1,4
1972,48,12,1,-1,2
1972,59,10,0,-1,2
1972,39,11,0,-1,2
1972,49,12,1,-1,1
1972,33,12,1,-1,1
1972,53,11,0,-1,1
1972,30,12,1,-1,1
1972,25,12,1,-1,2
1972,36,9,0,-1,1
1972,30,12,1,-1,1
1972,28,9,0,-1,1
1972,52,8,0,-1,1
1972,44,10,0,-1,1
1972,50,18,4,-1,4
1972,38,18,3,-1,4
1972,26,18,3,-1,1
1972,28,12,1,-1,4
1972,81,14,1,-1,1
1972,55,12,1,-1,2
1972,76,12,0,-1,1
1972,29,12,1,-1,4
1972,19,10,0,-1,4
1972,76,10,0,-1,2
1972,61,19,4,-1,1
1972,26,16,3,-1,1
1972,39,14,1,-1,1
1972,19,9,0,-1,4
1972,26,16,3,-1,4
1972,21,12,1,-1,1
1972,45,10,0,-1,1
1972,27,12,1,-1,1
1972,76,1,0,-1,1
1972,63,5,0,-1,1
1972,52,6,0,-1,1
1972,65,1,0,-1,1
1972,59,2,0,-1,1
1972,26,14,1,-1,2
1972,41,16,3,-1,1
1972,56,18,4,-1,2
1972,62,15,1,-1,1
1972,29,18,4,-1,1
1972,25,16,3,-1,2
1972,41,12,1,-1,2
1972,21,12,0,-1,5
1972,49,12,1,-1,1
1972,38,9,0,-1,1
1972,50,12,1,-1,1
1972,43,12,1,-1,2
1972,32,13,1,-1,1
1972,55,12,1,-1,1
1972,27,14,2,-1,1
1972,56,13,1,-1,1
1972,48,8,0,-1,1
1972,56,10,0,-1,1
1972,44,3,0,-1,1
1972,25,9,0,-1,1
1972,32,10,0,-1,1
1972,33,13,1,-1,1
1972,48,11,0,-1,2
1972,45,12,1,-1,1
1972,45,10,0,-1,1
1972,72,7,0,-1,1
1972,45,9,0,-1,1
1972,70,6,0,-1,1
1972,31,14,1,-1,1
1972,20,12,1,-1,1
1972,22,9,0,-1,1
1972,63,4,0,-1,1
1972,70,6,0,-1,1
1972,68,11,0,-1,1
1972,43,12,1,-1,2
